game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after,n_concurrent_at_start
823971,2026-03-28,0.125,1.0021609171346877,25422.185,802.5519149485905,802,802.0,0.6850000000000003,1,0.3149999999999997,252.62999999999977,25674.815000000002,4
824701,2026-03-28,0.125,1.0021609171346877,25674.815000000002,1608.1435092289648,1608,1608.0,0.684987562189055,1,0.315012437810945,506.53999999999957,26181.355000000003,2
823082,2026-03-28,0.125,1.0021609171346877,26181.355000000003,3216.2870184579297,3216,3216.0,0.500136815920398,1,0.49986318407960195,1607.56,27788.915000000005,1
823892,2026-03-28,0.125,1.0021609171346877,27788.915000000005,536.0478364096549,536,536.0,0.5303731343283583,1,0.4696268656716417,251.71999999999994,28040.635000000006,6
822838,2026-03-28,0.125,1.0021609171346877,28040.635000000006,1072.0956728193098,1072,1072.0,0.6449999999999999,1,0.3550000000000001,380.5600000000001,28421.195000000007,3
824862,2026-03-28,0.125,1.0021609171346877,28421.195000000007,804.0717546144824,804,804.0,0.6050000000000002,0,-0.6050000000000002,-486.4200000000002,27934.775000000005,4
823488,2026-03-28,0.125,1.0021609171346877,27934.775000000005,643.257403691586,643,643.0,0.2336158631415241,0,-0.2336158631415241,-150.215,27784.560000000005,5
823651,2026-03-28,0.125,1.0021609171346877,27784.560000000005,402.0358773072412,402,402.0,0.6150000000000001,1,0.3849999999999999,154.76999999999995,27939.330000000005,8
824540,2026-03-28,0.125,1.0021609171346877,27939.330000000005,459.4695740654185,118,118.0,0.5444491525423729,1,0.4555508474576271,53.754999999999995,27993.085000000006,7
824945,2026-03-28,0.125,1.0021609171346877,27993.085000000006,580.0958360788284,580,580.0,0.5790431034482759,1,0.4209568965517241,244.15499999999997,28237.240000000005,6
823241,2026-03-28,0.125,1.0021609171346877,28237.240000000005,696.1150032945941,696,696.0,0.3254238505747126,0,-0.3254238505747126,-226.49499999999998,28010.745000000006,5
823811,2026-03-28,0.125,1.0021609171346877,28010.745000000006,874.8481166859734,98,98.0,0.9067346938775511,1,0.09326530612244888,9.13999999999999,28019.885000000006,4
824213,2026-03-28,0.125,1.0021609171346877,28019.885000000006,870.1437541182426,870,870.0,0.5549999999999999,1,0.44500000000000006,387.15000000000003,28407.035000000007,4
823323,2026-03-29,0.125,1.0021609171346877,28407.035000000007,701.3393934257318,701,701.0,0.5113623395149786,1,0.48863766048502144,342.535,28749.570000000007,5
823973,2026-03-29,0.125,1.0021609171346877,28749.570000000007,584.4494945214432,584,584.0,0.6873373287671233,1,0.3126626712328767,182.595,28932.165000000008,6
823161,2026-03-29,0.125,1.0021609171346877,28932.165000000008,500.95670958980844,500,500.0,0.5079900000000002,0,-0.5079900000000002,-253.9950000000001,28678.17000000001,7
824944,2026-03-29,0.125,1.0021609171346877,28678.17000000001,3592.517643618062,2416,2416.0,0.4785326986754966,0,-0.4785326986754966,-1156.1349999999998,27522.03500000001,1
822837,2026-03-29,0.125,1.0021609171346877,27522.03500000001,1197.5058812060206,1087,1087.0,0.6272861085556577,1,0.3727138914443423,405.1400000000001,27927.17500000001,3
823487,2026-03-29,0.125,1.0021609171346877,27927.17500000001,1796.258821809031,1796,1796.0,0.5400890868596881,0,-0.5400890868596881,-969.9999999999999,26957.17500000001,2
823891,2026-03-29,0.125,1.0021609171346877,26957.17500000001,718.5035287236124,718,718.0,0.5128621169916434,1,0.4871378830083566,349.76500000000004,27306.94000000001,5
824538,2026-03-29,0.125,1.0021609171346877,27306.94000000001,513.2168062311517,513,513.0,0.5003606237816763,1,0.49963937621832366,256.31500000000005,27563.25500000001,7
823647,2026-03-29,0.125,1.0021609171346877,27563.25500000001,598.7529406030103,598,598.0,0.6349999999999998,0,-0.6349999999999998,-379.72999999999985,27183.52500000001,6
824864,2026-03-29,0.125,1.0021609171346877,27183.52500000001,898.1294109045155,898,898.0,0.595,1,0.405,363.69,27547.215000000007,4
824700,2026-03-29,0.125,1.0021609171346877,27547.215000000007,326.59251305618744,326,326.0,0.6834049079754602,0,-0.6834049079754602,-222.79000000000002,27324.425000000007,11
823079,2026-03-29,0.125,1.0021609171346877,27324.425000000007,359.2517643618062,359,359.0,0.18004178272980498,0,-0.18004178272980498,-64.63499999999999,27259.790000000008,10
823810,2026-03-29,0.125,1.0021609171346877,27259.790000000008,399.1686270686735,399,399.0,0.6050000000000002,1,0.3949999999999998,157.6049999999999,27417.395000000008,9
824215,2026-03-29,0.125,1.0021609171346877,27417.395000000008,449.0647054522577,313,313.0,0.49327476038338663,1,0.5067252396166133,158.60499999999996,27576.000000000007,8
823160,2026-03-29,0.125,1.0021609171346877,27576.000000000007,3454.4486813632693,3454,3454.0,0.5750000000000001,1,0.42499999999999993,1467.9499999999998,29043.950000000008,1
824135,2026-03-30,0.125,1.0021609171346877,29043.950000000008,3638.3389461517527,3638,3638.0,0.6269282572842222,1,0.3730717427157778,1357.2349999999997,30401.18500000001,1
824539,2026-03-30,0.125,1.0021609171346877,30401.18500000001,1269.4533100658882,89,89.0,0.6201123595505619,1,0.3798876404494381,33.809999999999995,30434.99500000001,3
823890,2026-03-30,0.125,1.0021609171346877,30434.99500000001,1904.1799650988323,1904,1904.0,0.4173398109243697,0,-0.4173398109243697,-794.615,29640.38000000001,2
824863,2026-03-30,0.125,1.0021609171346877,29640.38000000001,3808.3599301976647,709,709.0,0.13795486600846263,0,-0.13795486600846263,-97.81,29542.570000000007,1
