game_pk,game_date,entry_ts,entry_mid,entry_spread,entry_depth_ratio,entry_inning,entry_score_diff,home_favored,home_won,pnl,sim_filled_60s,sim_fill_price,sim_fill_time
824862,2026-03-28,1774717849,0.605,0.010000000000000009,0.39359007413801894,,,1,0,-0.605,1,0.61,0.0
823488,2026-03-28,1774729416,0.46499999999999997,0.009999999999999953,0.3897315767566573,2,-1,0,0,-0.46499999999999997,1,0.47,0.0
823892,2026-03-28,1774726497,0.645,0.010000000000000009,0.3960046453731967,,,1,1,0.355,1,0.65,3.0
824540,2026-03-28,1774729188,0.485,0.010000000000000009,0.09578328191131347,1,0,0,1,0.515,1,0.49,33.0
823651,2026-03-28,1774725329,0.615,0.010000000000000009,0.39861877578045096,,,1,1,0.385,1,0.62,0.0
823811,2026-03-28,1774738079,0.645,0.010000000000000009,0.3965566726619845,,,1,1,0.355,1,0.65,5.0
824213,2026-03-28,1774731890,0.555,0.010000000000000009,0.36856158211801104,,,1,1,0.44499999999999995,1,0.56,14.0
823241,2026-03-28,1774740288,0.46499999999999997,0.02999999999999997,0.0915733753718331,1,0,0,0,-0.46499999999999997,1,0.47,59.0
824945,2026-03-28,1774736222,0.585,0.010000000000000009,0.3977146567524315,,,1,1,0.41500000000000004,1,0.59,45.0
823323,2026-03-29,1774735467,0.515,0.010000000000000009,0.39899324461391256,,,1,1,0.485,1,0.51,0.0
823973,2026-03-29,1774734354,0.69,0.019999999999999907,0.3990374751029033,,,1,1,0.31000000000000005,1,0.69,37.0
823161,2026-03-29,1774742648,0.625,0.010000000000000009,0.399109468294253,,,1,0,-0.625,1,0.63,6.0
824944,2026-03-29,1774797600,0.59,0.020000000000000018,0.3935404263131955,,,1,0,-0.59,0,,
823487,2026-03-29,1774796833,0.595,0.010000000000000009,0.3898286201523211,,,1,0,-0.595,1,0.6,0.0
822837,2026-03-29,1774798431,0.585,0.010000000000000009,0.3980822164682853,,,1,1,0.41500000000000004,1,0.59,3.0
824864,2026-03-29,1774798248,0.595,0.010000000000000009,0.39101143889434914,,,1,1,0.405,1,0.6,0.0
823891,2026-03-29,1774802497,0.635,0.010000000000000009,0.3966486608535751,,,1,1,0.365,1,0.64,53.0
823647,2026-03-29,1774801462,0.635,0.010000000000000009,0.39780549308253255,,,1,0,-0.635,1,0.64,2.0
824538,2026-03-29,1774806644,0.535,0.030000000000000027,0.09914466592462808,1,0,1,1,0.46499999999999997,1,0.54,24.0
824215,2026-03-29,1774811302,0.85,0.020000000000000018,0.39217875362453675,3,4,1,1,0.15000000000000002,1,0.85,2.0
823810,2026-03-29,1774798248,0.605,0.010000000000000009,0.3606026520695091,,,1,1,0.395,1,0.61,38.0
823079,2026-03-29,1774808737,0.475,0.010000000000000009,0.1842520276359267,1,0,0,0,-0.475,1,0.48,17.0
824700,2026-03-29,1774804510,0.695,0.010000000000000009,0.39641646352070997,,,1,0,-0.695,1,0.7,9.0
823160,2026-03-29,1774814685,0.575,0.010000000000000009,0.39645258721408233,,,1,1,0.42500000000000004,1,0.58,0.0
824135,2026-03-30,1774888258,0.605,0.010000000000000009,0.3358893648268266,,,1,1,0.395,1,0.61,0.0
824863,2026-03-30,1774910688,0.375,0.010000000000000009,0.09614909129650812,1,-1,0,0,-0.375,1,0.38,0.0
823890,2026-03-30,1774899104,0.5700000000000001,0.019999999999999907,0.3831560803832478,,,1,0,-0.5700000000000001,0,,
824539,2026-03-30,1774910988,0.59,0.040000000000000036,0.08786414311217508,1,0,1,1,0.41000000000000003,1,0.42000000000000004,1.0
823484,2026-03-30,1774900242,0.615,0.010000000000000009,0.364723161842858,,,1,0,-0.615,1,0.62,0.0
822834,2026-03-30,1774903748,0.72,0.020000000000000018,0.39397508085994004,,,1,0,-0.72,0,,
824943,2026-03-30,1774899913,0.565,0.009999999999999898,0.39101877423084935,,,1,1,0.43500000000000005,1,0.57,27.0
824702,2026-03-30,1774916207,0.85,0.020000000000000018,0.32989071105278006,3,3,1,1,0.15000000000000002,1,0.15000000000000002,10.0
823809,2026-03-30,1774903914,0.605,0.010000000000000009,0.38251586074612365,,,1,0,-0.605,1,0.61,5.0
823080,2026-03-30,1774914888,0.38,0.020000000000000018,0.21668555134141912,1,-1,0,0,-0.38,1,0.38,28.0
823320,2026-03-31,1774921921,0.525,0.010000000000000009,0.39821303732501234,2,0,1,0,-0.525,1,0.53,0.0
823159,2026-03-31,1774921405,0.475,0.010000000000000009,0.3965208024014613,1,0,0,1,0.525,1,0.48,7.0
823972,2026-03-31,1774911023,0.635,0.010000000000000009,0.3627508028565982,,,1,0,-0.635,1,0.64,0.0
824861,2026-03-31,1775001227,0.225,0.010000000000000009,0.39757738098652273,5,-2,0,0,-0.225,1,0.22,9.0
824537,2026-03-31,1774998012,0.47,0.019999999999999962,0.39910541159880136,2,0,0,0,-0.47,1,0.44,6.0
