game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,first_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after
822834,2026-03-30,0.125,1.1378427225152414,41797.04999999999,5944.808645638207,1759,1759.0,0.5719698692438885,0.72,0,-0.5719698692438885,-1006.0949999999998,40790.95499999999
824943,2026-03-30,0.125,1.1378427225152414,40790.95499999999,5801.711411399586,2554,2554.0,0.577458888018794,0.565,1,0.42254111198120603,1079.1700000000003,41870.124999999985
824702,2026-03-30,0.125,1.1378427225152414,41870.124999999985,5955.202127756682,1,1.0,0.85,0.85,1,0.15000000000000002,0.15000000000000002,41870.27499999999
823809,2026-03-30,0.125,1.1378427225152414,41870.27499999999,5955.223462307729,1960,1960.0,0.5505076530612246,0.605,0,-0.5505076530612246,-1078.9950000000003,40791.279999999984
823080,2026-03-30,0.125,1.1378427225152414,40791.279999999984,5801.757636260188,397,397.0,0.15988664987405543,0.38,0,-0.15988664987405543,-63.47500000000001,40727.804999999986
823320,2026-03-31,0.125,1.1378427225152414,40727.804999999986,5792.729565408731,5703,5703.0,0.15505260389268807,0.525,0,-0.15505260389268807,-884.2650000000001,39843.539999999986
823159,2026-03-31,0.125,1.1378427225152414,39843.539999999986,5666.960253530613,85,85.0,0.5335294117647059,0.475,1,0.4664705882352941,39.65,39883.18999999999
823972,2026-03-31,0.125,1.1378427225152414,39883.18999999999,5672.5996865240795,5672,5672.0,0.4701895275035261,0.635,0,-0.4701895275035261,-2666.915,37216.27499999999
824861,2026-03-31,0.125,1.1378427225152414,37216.27499999999,5293.283458484488,1419,1419.0,0.07425651867512333,0.225,0,-0.07425651867512333,-105.37,37110.904999999984
824537,2026-03-31,0.125,1.1378427225152414,37110.904999999984,5278.296647525559,4423,4423.0,0.07912050644359034,0.47,0,-0.07912050644359034,-349.95000000000005,36760.95499999999
823888,2026-03-31,0.125,1.1378427225152414,36760.95499999999,5228.523139932533,20,20.0,0.5589999999999999,0.565,1,0.44100000000000006,8.82,36769.77499999999
823485,2026-03-31,0.125,1.1378427225152414,36769.77499999999,5229.777611534106,558,558.0,0.6306541218637992,0.635,1,0.3693458781362008,206.09500000000003,36975.86999999999
822836,2026-03-31,0.125,1.1378427225152414,36975.86999999999,5259.090573521204,1278,1278.0,0.7087793427230047,0.705,1,0.2912206572769953,372.18,37348.04999999999
824942,2026-03-31,0.125,1.1378427225152414,37348.04999999999,5312.025861579419,3371,3371.0,0.23533224562444374,0.595,0,-0.23533224562444374,-793.3049999999998,36554.74499999999
823807,2026-03-31,0.125,1.1378427225152414,36554.74499999999,5199.1938214563,2730,2730.0,0.5372582417582418,0.535,1,0.4627417582417582,1263.2849999999999,37818.029999999984
823077,2026-03-31,0.125,1.1378427225152414,37818.029999999984,5378.871276920382,45,45.0,0.4694444444444444,0.455,1,0.5305555555555557,23.875000000000004,37841.904999999984
824212,2026-04-01,0.125,1.1378427225152414,37841.904999999984,5382.267026295389,2741,2741.0,0.5855180591025173,0.575,1,0.4144819408974827,1136.095,38977.999999999985
825107,2026-04-01,0.125,1.1378427225152414,38977.999999999985,5543.854204774883,5543,5543.0,0.2510274219736604,0.515,1,0.7489725780263397,4151.555,43129.554999999986
